placa,market,plan_type,balance,payment,term_months,protections_allowed,protections_used,protections_remaining,contract_status,contract_valid_until,contract_reset_cycle_days,requires_manual_review,expected_payment,bank_transfer,cash_collection,observed_payment,arrears_amount,coverage_ratio_30d,coverage_ratio_14d,coverage_ratio_7d,gnv_credit_30d,gnv_credit_14d,gnv_credit_7d,litros_30d,avg_30d_litros,downtime_hours_30d,downtime_hours_14d,downtime_hours_7d,distance_km_30d,engine_hours_30d,driving_hours_30d,idling_hours_30d,fault_events_30d,idle_hours_ratio_30d,seatbelt_off_rate_30d,high_speed_ratio_30d,after_hours_distance_km_30d,after_hours_driving_hours_30d,after_hours_stop_hours_30d,after_hours_ratio_30d,safety_score,safety_alert,telemetry_health_score,telemetry_alert,idle_pressure_30d,high_speed_pressure_30d,seatbelt_pressure_30d,hase_consumption_gap_flag,hase_fault_alert_flag,hase_telemetry_ok_flag,has_recent_promise_break,last_protection_at,scenario,risk_story
LAB-120,EDOMEX - ECATEPEC,proteccion_ilimitada,610000,20500,60,4,1,3,active,2026-03-07,180,False,20500,12114.79,9281.78,21396.57,-1882.92,1.101,1.101,1.101,23784.65,22566.61,22566.61,851.96,28.4,12.33,12.33,12.33,2261.1,92.4,81.97,29.4,0,0.359,0.237,0.229,683.8,13.53,20.93,0.302,0.636,0,0.687,0,0.598,0.602,0.659,0,0,1,0,2025-07-30,baseline,baseline
LAB-121,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,2,1,active,2026-05-18,365,False,19000,13298.89,5875.83,19174.72,0.0,0.814,0.325,0.166,15010.01,6180.81,3150.96,639.06,21.3,196.44,104.07,53.16,2133.1,94.0,86.66,39.4,1,0.455,0.244,0.261,415.8,22.39,24.65,0.195,0.681,0,0.158,1,0.758,0.686,0.677,0,0,1,0,2025-09-16,baseline,baseline
LAB-122,AGUASCALIENTES,proteccion_light,360000,13500,36,1,0,1,active,2026-02-14,180,False,13500,6205.79,7766.51,13972.3,0.0,1.502,0.676,0.328,20554.35,9132.67,4430.53,1187.56,39.59,114.27,47.84,24.77,3177.0,132.1,103.66,45.14,0,0.435,0.281,0.271,1528.4,29.85,19.87,0.481,0.753,0,0.2,1,0.726,0.714,0.78,0,0,1,0,2025-09-16,baseline,baseline
LAB-123,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,2,0,active,2026-04-13,240,False,16800,8659.96,8669.3,17329.26,0.0,1.505,0.638,0.28,23676.94,10725.38,4706.19,1191.46,39.72,85.62,46.89,23.54,3606.7,142.7,122.66,40.66,0,0.332,0.353,0.283,845.4,46.34,10.35,0.234,0.886,0,0.291,1,0.553,0.746,0.98,0,0,1,0,2025-07-03,baseline,baseline
LAB-124,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,0,2,active,2026-05-11,240,False,16800,9920.44,6315.98,16236.42,563.58,0.1,0.05,0.02,1641.22,840.0,336.0,200.0,6.67,11.79,11.79,11.79,635.7,26.2,21.13,7.19,0,0.34,0.293,0.248,108.1,2.38,30.25,0.17,0.75,0,0.477,0,0.567,0.654,0.814,0,0,1,0,2025-08-06,baseline,baseline
LAB-125,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,0,2,active,2026-04-18,240,False,16800,8983.9,8513.15,17497.05,0.0,0.648,0.62,0.33,9510.66,10424.35,5541.21,563.11,18.77,121.63,109.96,41.87,1864.1,70.5,63.51,14.31,0,0.225,0.362,0.248,262.2,13.19,19.97,0.141,0.861,1,0.25,1,0.375,0.652,1.0,0,0,1,0,2025-10-07,baseline,baseline
LAB-126,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,0,3,active,2026-01-06,365,False,19000,10255.72,6868.99,17124.71,1875.29,0.496,0.261,0.147,9114.33,4962.56,2788.6,389.13,12.97,280.0,130.64,64.28,1163.0,49.3,42.99,13.23,1,0.308,0.303,0.38,389.7,19.27,11.15,0.335,0.905,0,0.17,1,0.513,1.0,0.841,1,0,0,0,2025-09-06,consumption_gap,consumption_gap
LAB-127,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,1,2,active,2026-02-15,365,False,19000,9485.9,9207.23,18693.13,306.87,0.299,0.195,0.098,4872.5,3698.4,1864.05,271.95,9.06,217.12,138.2,67.71,721.6,28.9,26.9,5.77,3,0.215,0.104,0.215,338.2,8.09,27.92,0.469,0.399,0,0.3,1,0.358,0.565,0.289,0,1,0,0,2025-09-27,fault_alert,fault_alert
LAB-128,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,0,2,active,2026-03-17,240,False,16800,8797.27,5044.49,13841.76,2958.24,0.383,0.19,0.093,6390.51,3193.18,1561.49,301.09,10.04,280.0,136.9,68.01,799.5,34.0,31.74,12.12,1,0.382,0.262,0.386,298.0,12.75,41.42,0.373,0.837,1,0.142,1,0.637,1.0,0.729,1,0,0,0,2025-10-06,consumption_gap,consumption_gap
LAB-129,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,3,0,active,2026-02-11,365,False,19000,10574.66,9440.29,20014.95,0.0,0.241,0.241,0.161,4460.83,4574.43,3052.36,220.15,7.34,148.75,148.75,68.4,746.6,38.7,29.8,4.13,0,0.139,0.37,0.308,246.1,10.13,18.53,0.33,0.924,1,0.24,1,0.231,0.81,1.0,0,0,0,0,2025-09-04,baseline,baseline
LAB-130,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,1,1,active,2026-01-28,240,False,16800,8843.02,7664.84,16507.86,292.14,0.125,0.125,0.097,1867.95,2104.76,1630.34,200.0,6.67,100.65,100.65,77.14,659.5,25.5,23.37,8.64,0,0.37,0.234,0.195,201.9,2.41,9.89,0.306,0.595,0,0.253,1,0.616,0.514,0.65,0,0,1,0,2025-07-03,baseline,baseline
LAB-131,EDOMEX - ECATEPEC,proteccion_light,360000,13500,36,1,0,1,active,2026-01-16,180,False,13500,8073.45,6078.46,14151.91,0.0,0.176,0.176,0.083,2028.04,2378.28,1122.21,200.0,6.67,139.63,139.63,72.12,615.2,22.4,19.88,3.74,0,0.188,0.378,0.356,212.3,7.5,38.12,0.345,0.975,1,0.193,1,0.314,0.938,1.0,0,0,0,0,2025-07-21,baseline,baseline
LAB-132,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,2,0,active,2026-04-24,240,False,16800,8945.1,9050.27,17995.37,0.0,0.963,0.481,0.307,17696.74,8085.28,5150.96,756.24,25.21,192.7,94.21,46.0,2218.5,95.6,79.91,12.68,1,0.159,0.355,0.277,425.2,34.04,12.95,0.192,0.883,0,0.269,1,0.264,0.729,0.987,0,0,1,0,2025-10-02,baseline,baseline
LAB-133,EDOMEX - TLANEPANTLA,proteccion_ilimitada,610000,20500,60,4,3,1,active,2026-03-09,180,False,20500,7456.35,10755.22,18211.57,2288.43,0.689,0.348,0.171,14246.01,7141.73,3507.64,616.92,20.56,269.61,110.85,53.74,1977.8,84.0,66.37,21.97,2,0.331,0.257,0.352,432.3,20.29,34.57,0.219,0.799,0,0.187,1,0.552,0.926,0.714,1,0,1,0,2025-07-02,consumption_gap,consumption_gap
LAB-134,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,0,3,active,2026-02-07,365,False,19000,10836.53,8625.25,19461.78,-1487.69,1.479,0.606,0.281,27976.09,11521.43,5343.16,1161.02,38.7,93.38,58.17,32.28,3562.2,157.7,124.55,43.71,0,0.351,0.246,0.243,410.5,24.36,29.1,0.115,0.666,0,0.304,1,0.585,0.64,0.684,0,0,1,0,2025-08-03,baseline,baseline
LAB-135,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,1,0,active,2026-05-26,180,False,13500,8552.31,5724.85,14277.16,0.0,0.596,0.265,0.133,8026.05,3582.91,1792.97,499.92,16.66,260.13,121.28,61.63,1435.2,69.3,52.91,20.13,1,0.38,0.271,0.412,339.3,7.94,15.72,0.236,0.852,1,0.148,1,0.634,1.0,0.753,0,0,0,0,2025-08-21,baseline,baseline
LAB-136,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,2,1,active,2026-01-18,365,False,19000,10156.95,9907.9,20064.85,0.0,0.1,0.05,0.031,1981.94,950.0,581.27,200.0,6.67,35.4,35.4,35.4,648.4,32.3,26.17,12.18,0,0.465,0.305,0.374,173.1,10.71,28.89,0.267,0.901,0,0.329,1,0.775,0.983,0.846,0,0,1,0,2025-07-20,baseline,baseline
LAB-137,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,0,2,active,2026-05-07,240,False,16800,10428.66,7607.22,18035.88,0.0,1.6,1.139,0.541,24710.77,19133.33,9084.0,2533.08,84.44,0.0,0.0,0.0,6694.1,291.4,218.89,68.22,0,0.312,0.293,0.374,1469.6,31.04,11.87,0.22,0.882,0,0.602,0,0.519,0.983,0.815,0,0,1,0,2025-09-27,baseline,baseline
LAB-138,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,2,1,active,2025-12-14,365,False,19000,9571.87,8881.25,18453.12,546.88,0.1,0.05,0.02,1789.84,950.0,380.0,200.0,6.67,11.9,11.9,11.9,620.2,22.4,20.41,9.16,0,0.449,0.323,0.24,175.9,6.47,33.57,0.284,0.792,0,0.422,0,0.748,0.633,0.897,0,0,1,0,2025-07-06,baseline,baseline
LAB-139,EDOMEX - ECATEPEC,proteccion_light,360000,13500,36,1,1,0,active,2026-04-23,180,False,13500,6418.66,4414.81,10833.47,2666.53,0.232,0.214,0.128,3057.31,2894.58,1727.64,212.21,7.07,160.93,149.14,69.96,637.9,27.2,23.57,4.95,4,0.21,0.302,0.304,230.6,3.78,20.79,0.362,0.823,0,0.224,1,0.35,0.8,0.838,0,1,0,0,2025-08-07,fault_alert,fault_alert
LAB-140,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,3,0,active,2026-02-16,365,False,19000,6745.15,8501.93,15247.08,3752.92,1.6,1.5,0.473,29364.27,28500.0,8980.91,3209.78,106.99,0.0,0.0,0.0,8425.0,372.9,297.45,115.66,0,0.389,0.31,0.367,2100.2,34.04,12.0,0.249,0.903,0,0.552,0,0.648,0.967,0.86,1,0,1,0,2025-07-02,consumption_gap,consumption_gap
LAB-141,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,2,0,active,2026-02-08,240,True,16800,9497.96,5773.93,15271.89,1528.11,0.1,0.05,0.036,1688.36,840.0,600.13,200.0,6.67,23.36,23.36,23.36,631.5,22.9,21.04,9.54,2,0.453,0.275,0.178,296.4,3.54,8.16,0.469,0.646,0,0.421,0,0.756,0.468,0.764,0,1,1,0,2025-08-26,fault_alert,fault_alert
LAB-142,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,1,1,active,2026-05-01,240,True,16800,9720.92,5911.71,15632.63,1167.37,0.503,0.236,0.122,7443.02,3968.41,2041.23,442.13,14.74,277.66,128.74,64.4,1254.0,44.4,41.26,10.99,3,0.266,0.326,0.338,402.2,13.76,26.27,0.321,0.899,0,0.184,1,0.444,0.888,0.905,0,1,0,0,2025-08-10,fault_alert,fault_alert
LAB-143,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,0,1,active,2026-01-07,180,False,13500,9067.43,5195.37,14262.8,0.0,0.1,0.05,0.026,1408.35,675.0,346.2,200.0,6.67,23.54,23.54,23.54,563.4,22.8,20.52,8.82,0,0.43,0.377,0.329,160.3,8.94,17.13,0.285,0.946,1,0.368,1,0.717,0.866,1.0,0,0,1,0,2025-08-14,baseline,baseline
LAB-144,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,0,2,active,2026-05-12,240,False,16800,8771.92,7715.11,16487.03,-1423.96,0.471,0.239,0.124,8481.22,4011.45,2075.13,411.56,13.72,280.0,129.85,64.14,1277.5,54.5,46.21,13.27,1,0.287,0.364,0.4,231.1,16.21,38.4,0.181,1.0,1,0.155,1,0.479,1.0,1.0,0,0,0,0,2025-09-12,baseline,baseline
LAB-145,EDOMEX - ECATEPEC,proteccion_caduca,455000,17200,40,2,2,0,active,2026-05-20,365,False,17200,8767.7,6418.45,15186.15,2013.85,0.463,0.21,0.093,8448.64,3613.6,1598.48,391.22,13.04,280.0,130.19,65.4,1328.0,63.8,49.29,19.13,1,0.388,0.239,0.391,409.9,14.68,12.24,0.309,0.798,1,0.147,1,0.647,1.0,0.663,1,0,0,0,2025-09-01,consumption_gap,consumption_gap
LAB-146,AGUASCALIENTES,proteccion_total,520000,19000,48,3,1,2,active,2026-03-23,365,False,19000,12377.63,7883.43,20261.06,-1714.51,1.158,0.498,0.229,21276.06,9460.82,4357.22,1159.31,38.64,160.44,77.15,40.45,3583.9,154.5,132.1,38.29,0,0.29,0.247,0.303,1336.9,51.02,37.83,0.373,0.732,0,0.229,1,0.483,0.799,0.687,0,0,1,0,2025-07-22,baseline,baseline
LAB-147,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,3,0,active,2026-05-26,365,False,19000,7734.19,9324.66,17058.85,1941.15,1.334,0.573,0.305,23058.78,10877.58,5796.03,1047.47,34.92,130.21,65.42,34.56,3286.0,153.3,127.43,58.81,0,0.462,0.285,0.304,1294.8,51.76,14.63,0.394,0.795,0,0.16,1,0.769,0.801,0.791,1,0,1,0,2025-10-08,consumption_gap,consumption_gap
LAB-148,EDOMEX - TLANEPANTLA,proteccion_caduca,455000,17200,40,2,0,2,active,2026-05-11,365,False,17200,7852.63,6381.62,14234.25,2965.75,0.5,0.233,0.12,9048.11,4016.05,2061.35,437.39,14.58,276.43,129.11,64.42,1385.5,66.9,50.79,10.3,1,0.203,0.257,0.324,719.4,9.47,17.99,0.519,0.77,0,0.235,1,0.338,0.854,0.714,1,0,0,0,2025-09-18,consumption_gap,consumption_gap
LAB-149,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,0,2,active,2026-03-25,240,False,16800,3410.99,7143.49,10554.48,6245.52,0.257,0.205,0.099,4219.5,3450.58,1666.47,217.7,7.26,188.5,142.11,67.52,706.6,31.3,26.68,4.81,2,0.18,0.202,0.274,206.2,6.34,43.72,0.292,0.626,0,0.269,1,0.301,0.722,0.562,0,0,0,1,2025-09-14,delinquency,promesa_incumplida
LAB-150,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,0,3,active,2025-12-26,365,False,19000,11906.81,7564.17,19470.98,-2073.06,0.397,0.189,0.088,6749.91,3596.38,1665.91,335.93,11.2,280.0,136.62,68.04,1078.9,52.3,40.68,7.9,1,0.194,0.296,0.181,276.2,7.28,36.96,0.256,0.685,0,0.25,1,0.324,0.476,0.824,0,0,0,0,2025-07-14,baseline,baseline
LAB-151,AGUASCALIENTES,proteccion_caduca,455000,17200,40,2,1,1,active,2026-01-07,365,False,17200,9282.59,6796.5,16079.09,1120.91,1.201,0.531,0.296,20278.56,9127.81,5095.3,1320.31,44.01,158.36,74.5,38.08,4122.3,146.3,135.45,31.65,3,0.234,0.338,0.387,1241.2,45.56,41.64,0.301,0.964,1,0.219,1,0.389,1.0,0.939,0,1,1,0,2025-07-13,fault_alert,fault_alert
LAB-152,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,0,1,active,2026-04-15,180,False,13500,8264.01,5463.14,13727.15,0.0,0.1,0.05,0.026,1193.14,675.0,348.49,200.0,6.67,23.55,23.55,23.55,538.7,27.0,21.79,5.37,0,0.247,0.184,0.317,119.3,6.29,45.4,0.221,0.64,0,0.506,0,0.411,0.833,0.511,0,0,1,0,2025-07-18,baseline,baseline
LAB-153,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,0,1,active,2025-12-15,180,False,13500,5557.27,3080.47,8637.74,4862.26,0.1,0.05,0.02,1359.03,675.0,270.0,200.0,6.67,11.89,11.89,11.89,576.5,25.7,20.05,9.61,0,0.479,0.372,0.244,198.8,2.84,17.79,0.345,0.857,1,0.396,1,0.799,0.643,1.0,0,0,1,1,2025-09-25,delinquency,promesa_incumplida
LAB-154,EDOMEX - TLANEPANTLA,proteccion_caduca,455000,17200,40,2,0,2,active,2026-01-23,365,False,17200,6157.42,6839.91,12997.33,4202.67,0.1,0.05,0.02,1702.23,860.0,344.0,200.0,6.67,11.83,11.83,11.83,565.2,23.7,20.06,9.07,0,0.452,0.308,0.357,207.5,8.72,47.23,0.367,0.888,0,0.402,0,0.754,0.938,0.855,1,0,1,0,2025-08-25,consumption_gap,consumption_gap
LAB-155,AGUASCALIENTES,proteccion_caduca,455000,17200,40,2,0,2,active,2026-04-23,365,False,17200,6783.52,7668.66,14452.18,2747.82,1.271,0.583,0.299,21113.73,10022.04,5142.74,1272.33,42.41,150.35,68.46,36.05,4149.2,179.2,144.13,51.01,0,0.354,0.262,0.488,1392.4,54.11,25.32,0.336,0.837,1,0.195,1,0.59,1.0,0.729,1,0,1,0,2025-09-16,consumption_gap,consumption_gap
LAB-156,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,1,0,active,2026-03-13,180,False,13500,6291.7,7880.28,14171.98,0.0,0.42,0.18,0.084,5359.74,2428.44,1132.1,369.39,12.31,280.0,134.58,67.59,1087.9,42.0,36.62,14.39,1,0.393,0.241,0.268,424.3,13.25,26.32,0.39,0.683,0,0.166,1,0.655,0.705,0.669,0,0,0,0,2025-09-09,baseline,baseline
LAB-157,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,0,3,active,2026-02-05,365,False,19000,9138.32,9925.47,19063.79,0.0,0.427,0.3,0.173,8782.94,5704.58,3292.29,387.32,12.91,194.42,127.39,59.97,1018.3,42.6,35.92,4.57,1,0.127,0.205,0.26,248.0,8.64,29.16,0.244,0.616,0,0.308,1,0.212,0.683,0.571,0,0,0,0,2025-10-02,baseline,baseline
LAB-158,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,1,1,active,2026-01-02,240,False,16800,8491.66,7521.26,16012.92,787.08,0.1,0.1,0.1,1473.49,1679.67,1679.67,200.0,6.67,79.03,79.03,79.03,540.3,29.0,21.59,7.39,0,0.342,0.188,0.479,101.8,9.52,16.16,0.188,0.714,1,0.304,1,0.571,1.0,0.523,0,0,1,0,2025-08-30,baseline,baseline
LAB-159,EDOMEX - TLANEPANTLA,proteccion_ilimitada,610000,20500,60,4,1,3,active,2026-05-14,180,False,20500,14334.98,6150.39,20485.37,14.63,0.178,0.178,0.108,3976.44,3641.5,2223.86,200.0,6.67,119.03,119.03,72.99,529.2,21.2,17.37,6.49,0,0.374,0.254,0.261,189.8,4.51,14.2,0.359,0.697,0,0.179,1,0.623,0.686,0.705,0,0,1,0,2025-07-16,baseline,baseline
LAB-160,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,0,1,active,2026-04-15,180,False,13500,2725.26,3086.8,5812.06,7687.94,0.1,0.05,0.022,1375.02,675.0,296.47,200.0,6.67,23.59,23.59,23.59,529.6,23.6,18.83,6.25,0,0.332,0.472,0.228,81.7,3.25,30.53,0.154,0.84,1,0.429,0,0.553,0.6,1.0,0,0,1,1,2025-09-09,delinquency,promesa_incumplida
LAB-161,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,3,0,active,2026-03-12,365,False,19000,13236.47,5363.06,18599.53,400.47,0.544,0.241,0.128,9227.67,4586.61,2423.97,460.27,15.34,270.61,126.23,63.5,1301.1,55.4,48.32,19.68,1,0.407,0.356,0.304,403.8,17.97,13.92,0.31,0.914,0,0.123,1,0.679,0.8,0.99,0,0,0,0,2025-09-07,baseline,baseline
LAB-162,AGUASCALIENTES,proteccion_total,520000,19000,48,3,0,3,active,2026-05-24,365,False,19000,9727.75,10579.88,20307.63,0.0,0.602,0.326,0.169,12497.1,6187.16,3206.52,487.89,16.26,271.24,119.44,58.0,1307.8,52.4,46.47,14.66,1,0.315,0.337,0.265,182.2,7.63,26.77,0.139,0.84,0,0.184,1,0.526,0.697,0.935,0,0,1,0,2025-07-09,baseline,baseline
LAB-163,EDOMEX - TLANEPANTLA,proteccion_caduca,455000,17200,40,2,1,1,active,2026-04-29,365,False,17200,8462.4,6901.09,15363.49,1836.51,0.408,0.212,0.101,7506.06,3647.08,1741.4,354.87,11.83,247.65,128.76,64.81,1096.9,45.6,42.27,14.3,2,0.338,0.398,0.233,407.2,12.35,14.41,0.371,0.845,1,0.16,1,0.564,0.612,1.0,1,0,0,0,2025-07-20,consumption_gap,consumption_gap
LAB-164,AGUASCALIENTES,proteccion_total,520000,19000,48,3,1,2,active,2025-12-25,365,False,19000,11224.3,7993.73,19218.03,0.0,1.194,0.569,0.294,20473.17,10812.14,5578.99,1195.04,39.83,155.38,75.88,37.33,4043.3,212.7,163.79,54.68,0,0.334,0.124,0.18,1706.9,60.77,31.6,0.422,0.396,0,0.291,1,0.556,0.475,0.343,0,0,1,0,2025-07-27,baseline,baseline
LAB-165,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,1,2,active,2026-04-03,365,False,19000,10495.88,7357.24,17853.12,1146.88,0.1,0.051,0.051,1747.34,963.21,963.21,200.0,6.67,34.81,34.81,34.81,633.4,22.3,20.67,4.91,3,0.237,0.27,0.128,42.6,6.2,20.57,0.067,0.585,0,0.493,0,0.396,0.337,0.751,0,1,1,0,2025-08-11,fault_alert,fault_alert
LAB-166,EDOMEX - ECATEPEC,proteccion_caduca,455000,17200,40,2,1,1,active,2026-02-05,365,False,17200,8831.73,8022.78,16854.51,345.49,1.593,0.825,0.417,28128.16,14186.33,7170.43,1250.83,41.69,90.4,39.27,13.55,3870.4,178.0,161.03,56.17,0,0.349,0.286,0.263,1129.8,41.32,37.98,0.292,0.754,0,0.324,1,0.581,0.692,0.795,0,0,1,0,2025-08-25,baseline,baseline
LAB-167,EDOMEX - TLANEPANTLA,proteccion_ilimitada,610000,20500,60,4,3,1,active,2025-12-24,180,False,20500,13768.61,5966.35,19734.96,765.04,0.1,0.052,0.052,2143.7,1060.63,1060.63,200.0,6.67,34.69,34.69,34.69,618.3,27.8,22.51,3.93,0,0.175,0.383,0.32,258.7,5.73,17.78,0.418,0.936,1,0.449,0,0.291,0.841,1.0,0,0,1,0,2025-09-03,baseline,baseline
LAB-168,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,1,1,active,2026-05-04,240,False,16800,10632.83,6306.6,16939.43,-1973.68,0.676,0.676,0.417,11963.31,11351.03,7000.08,570.98,19.03,93.3,93.3,42.88,1815.1,79.8,60.34,14.57,0,0.241,0.17,0.378,459.1,10.72,12.56,0.253,0.681,0,0.374,1,0.402,0.995,0.471,0,0,1,0,2025-07-24,baseline,baseline
LAB-169,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,3,0,active,2025-12-21,365,False,19000,10704.67,8695.96,19400.63,0.0,0.1,0.05,0.02,2030.54,950.0,380.0,200.0,6.67,11.84,11.84,11.84,666.6,29.8,22.26,6.4,0,0.288,0.312,0.251,175.3,4.23,14.8,0.263,0.784,0,0.492,0,0.479,0.66,0.867,0,0,1,0,2025-09-22,baseline,baseline
LAB-170,AGUASCALIENTES,proteccion_caduca,455000,17200,40,2,2,0,active,2026-01-28,365,False,17200,8345.51,5694.76,14040.27,3159.73,0.919,0.489,0.264,15986.47,8402.66,4540.35,881.06,29.37,226.41,94.06,43.6,2422.3,90.4,79.25,16.79,2,0.212,0.238,0.299,983.4,25.47,14.38,0.406,0.711,0,0.272,1,0.353,0.787,0.661,1,0,1,0,2025-09-14,consumption_gap,consumption_gap
LAB-171,AGUASCALIENTES,proteccion_total,520000,19000,48,3,2,1,active,2026-05-08,365,False,19000,10123.44,9048.38,19171.82,0.0,1.349,0.685,0.348,23030.73,13009.08,6617.19,1033.75,34.46,139.99,56.13,26.05,3135.8,158.2,125.92,57.9,0,0.46,0.261,0.271,667.3,14.49,36.85,0.213,0.721,0,0.184,1,0.766,0.713,0.726,0,0,1,0,2025-10-06,baseline,baseline
LAB-172,EDOMEX - ECATEPEC,proteccion_caduca,455000,17200,40,2,1,1,active,2026-01-13,365,False,17200,9044.35,7682.53,16726.88,473.12,1.6,1.013,0.503,23830.01,17417.98,8643.82,1639.62,54.65,33.22,0.84,0.35,5347.8,238.6,187.8,70.65,0,0.376,0.364,0.244,1492.6,58.12,22.15,0.279,0.857,1,0.476,0,0.627,0.642,1.0,0,0,1,0,2025-09-08,baseline,baseline
LAB-173,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,2,1,active,2026-03-05,365,False,19000,12901.12,5919.77,18820.89,179.11,0.928,0.429,0.199,19239.96,8148.63,3779.77,675.01,22.5,202.33,95.05,47.94,1832.0,77.7,63.16,23.28,1,0.369,0.344,0.249,847.5,19.67,47.46,0.463,0.836,0,0.169,1,0.614,0.656,0.956,0,0,1,0,2025-07-03,baseline,baseline
LAB-174,AGUASCALIENTES,proteccion_total,520000,19000,48,3,1,2,active,2026-01-15,365,True,19000,8985.78,6230.8,15216.58,3783.42,1.6,0.842,0.398,29694.98,15995.01,7558.76,1659.89,55.33,93.04,33.38,12.33,5560.0,258.0,215.49,39.34,4,0.183,0.302,0.389,2455.3,86.72,13.73,0.442,0.904,1,0.351,1,0.304,1.0,0.839,0,1,1,0,2025-08-16,fault_alert,fault_alert
LAB-175,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,0,1,active,2026-03-31,180,False,13500,5772.74,5850.79,11623.53,1876.47,0.724,0.274,0.13,8542.18,3692.32,1759.04,526.84,17.56,235.38,116.16,59.85,1434.8,60.1,47.01,21.26,1,0.452,0.244,0.33,497.6,11.56,8.14,0.347,0.755,0,0.137,1,0.754,0.868,0.679,1,0,1,0,2025-10-02,consumption_gap,consumption_gap
LAB-176,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,1,0,active,2026-04-09,180,True,13500,6993.58,4201.8,11195.38,2304.62,0.315,0.282,0.133,4405.74,3803.55,1795.57,288.25,9.61,160.82,137.46,62.77,831.3,39.1,34.51,8.25,3,0.239,0.31,0.362,223.3,11.85,13.56,0.269,0.899,0,0.197,1,0.398,0.954,0.862,0,1,0,0,2025-08-06,fault_alert,fault_alert
LAB-177,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,1,1,active,2026-03-29,240,False,16800,8030.92,9061.06,17091.98,-1033.16,0.443,0.199,0.097,6575.66,3346.97,1623.96,362.92,12.1,280.0,132.47,66.87,1220.6,54.3,46.96,11.08,1,0.236,0.308,0.243,266.1,9.62,12.59,0.218,0.769,0,0.217,1,0.393,0.639,0.857,0,0,0,0,2025-07-22,baseline,baseline
LAB-178,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,2,-1,expired,2026-02-09,240,True,16800,5682.65,2473.08,8155.73,8644.27,0.433,0.203,0.099,7072.37,3416.5,1656.88,366.1,12.2,280.0,133.82,66.92,962.8,35.1,32.5,7.51,2,0.231,0.322,0.352,137.9,11.17,10.87,0.143,0.907,0,0.192,1,0.385,0.927,0.894,0,0,0,1,2025-07-26,delinquency,proteccion_negativa
LAB-179,EDOMEX - ECATEPEC,proteccion_ilimitada,610000,20500,60,4,0,4,active,2026-01-14,180,False,20500,14143.37,6916.67,21060.04,0.0,0.1,0.05,0.049,2106.34,1025.0,1014.49,200.0,6.67,35.05,35.05,35.05,632.7,25.4,21.28,6.64,0,0.312,0.354,0.334,155.5,2.38,19.03,0.246,0.942,0,0.389,1,0.52,0.879,0.984,0,0,1,0,2025-08-07,baseline,baseline
LAB-180,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,0,1,active,2025-12-26,180,False,13500,6379.33,7206.24,13585.57,0.0,0.343,0.164,0.066,4774.7,2214.53,885.52,314.47,10.48,280.0,138.51,69.53,963.3,42.0,35.1,16.42,1,0.468,0.293,0.188,92.1,3.84,45.7,0.096,0.686,0,0.131,1,0.78,0.494,0.814,0,0,0,0,2025-07-02,baseline,baseline
